,station_code,directions
0,A719,central_west
1,A724,central_west
2,A936,central_west
3,A043,north
4,A202,north
5,A229,north
6,A841,south
7,A838,south
8,A366,northeast
9,A443,northeast
10,A618,southeast
11,A748,southeast
